Episode,Title,Manga Chapter
89,An Impossible Choice: The Pain Within Tsunade's Heart,155 | 156 | 157
90,Unforgivable! A Total Lack of Respect!,157 | 158
91,Inheritence! The Necklace of Death!,159 | 160
92,A Dubious Offer! Tsunade's Choice!,161 | 162 | 163
93,Breakdown! The Deal is Off!,163 | 164
94,Attack! Fury of the Rasengan!,165 | 166 | 167
95,The Fifth Hokage! A Life on the Line!,168 | 169
96,Deadlock! Sannin Showdown!,170 | 171
97,Kidnapped! Naruto's Hot Spring Adventure!,Filler
98,Tsunade's Warning: Ninja No More!,172 | 173 | 174
99,The Will of Fire Still Burns!,177
100,Sensei and Student: The Bond of the Shinobi,179 | 180
101,Gotta See! Gotta Know! Kakashi-Sensei's True Face!,Filler
102,Mission: Help an Old Friend in the Land of Tea,Filler
103,The Race is on! Trouble on the High Seas!,Filler
104,Run Idate Run! Nagi Island Awaits!,Filler
105,A Fierce Battle of Rolling Thunder!,Filler
106,The Last Leg: A Final Act of Desperation,Filler
107,The Battle Begins: Naruto vs. Sasuke,173 | 174 | 175 | 184
108,Bitter Rivals and Broken Bonds,176 | 177
109,An Invitation from the Sound,178 | 179 | 181
110,Formation! The Sasuke Retrieval Squad,182 | 183
111,Sound vs. Leaf,183 | 184 | 185 | 186
112,Squad Mutiny: Everything Falls Apart!,186 | 187
113,"Full Throttle Power! Choji, Ablaze!",188 | 189
114,Good-bye Old Friend...! I'll Always Believe in You!,189 | 190 | 191
115,Your Opponent Is Me!,191 | 192 | 193
116,360 Degrees of Vision: The Byakugan's Blind Spot,194 | 195
117,Losing is Not an Option!,196 | 197 | 198
118,The Vessel Arrives Too Late,198 | 199
119,Miscalculation: A New Enemy Appears!,200 | 201 | 202
120,Roar and Howl! The Ultimate Tag Team,203 | 204
121,To Each His Own Battle,205 | 206
122,Fakeout: Shikamaru's Comeback!,207 | 208
123,The Leaf's Handsome Devil!,209 | 210
124,The Beast Within,211 | 212
125,The Sand Shinobi: Allies of the Leaf,213 | 214 | 215
126,Showdown: Gaara vs. Kimimaro!,215 | 216
127,Vengeful Strike! The Bracken Dance,216 | 217
128,A Cry on Deaf Ears,218 | 219
129,Brothers: Distance Among the Uchiha,220 | 221 | 222
130,"Father and Son, the Broken Crest",223 | 224
131,The Secrets of the Mangekyo Sharingan!,224 | 225
132,For a Friend,226 | 227 | 228
133,A Plea From a Friend,229 | 230 | 231
134,The End of Tears,231 | 232 | 233 | 234 | 235
135,The Promise That Could Not Be Kept,235 | 236 | 237 | 238
136,Deep Cover!? A Super S-Ranked Mission!,Filler
137,"A Town of Outlaws, the Shadow of the Fuma Clan",Filler
138,"Pure Betrayal, and a Fleeting Plea!",Filler
139,Pure Terror! The House of Orochimaru,Filler
140,Two Heartbeats: Kabuto's Trap,Filler
141,Sakura's Determination,236
142,The Three Villains from the Maximum Security Prison,238
143,Tonton! I'm Counting on You!,Filler
144,A New Squad! Two People and a Dog?!,Filler
145,A New Formation: Ino-Shika-Cho!,Filler
146,Orochimaru's Shadow,Filler
147,A Clash of Fate: You Can't Bring Me Down,Filler
148,Search for the Rare Bikochu Beetle,Filler
149,What's the Difference? Don't All Insects Look Alike?,Filler
150,A Battle of Bugs: The Deceivers and the Deceived,Filler
151,Blaze Away Byakugan: This Is My Ninja Way,Filler
152,Funeral March for the Living,Filler
153,A Lesson Learned: The Iron Fist of Love,Filler
154,The Enemy of the Byakugan,Filler
155,The Dark Creeping Clouds,Filler
156,Raiga's Counterattack,Filler
157,Run! The Curry of Life,Filler
158,Follow My Lead! The Great Survival Challenge,Filler
159,Bounty Hunter from the Wilderness,Filler
160,Hunt or Be Hunted?! Showdown at the O.K. Temple!,Filler
161,The Appearance of Strange Visitors,Filler
162,The Cursed Warrior,Filler
163,The Tactician's Intent,Filler
164,Too Late for Help,Filler
165,The Death of Naruto,Filler
166,When Time Stands Still,Filler
167,When Egrets Flap Their Wings,Filler
168,"Mix It, Stretch It, Boil It Up! Burn, Copper Pot, Burn!",Filler
169,Remembrance: The Lost Page,Filler
170,The Closed Door,Filler
171,Infiltration: The Set-Up!,Filler
172,Despair: A Fractured Heart,Filler
173,The Battle at Sea: The Power Unleashed!,Filler
174,Impossible! Celebrity Ninja Art - Money Style Jutsu!,Filler
175,The Treasure Hunt is On!,Filler
176,"Run, Dodge, Zigzag! Chase or Be Chased!",Filler
177,"Please, Mr. Postman!",Filler
178,Encounter! The Boy with a Star's Name,Filler
179,The Remembered Lullaby,Filler
180,Hidden Jutsu: The Price of The Ninja Art: Kujaku,Filler
181,"Hoshikage, The Buried Truth",Filler
182,"Reunion, The Remaining time",Filler
183,The Star's Radiance,Filler
184,Kiba's Long Day!,Filler
185,A Legend from the Hidden Leaf: The Onbaa!,Filler
186,Laughing Shino,Filler
187,Open for Business! The Leaf Moving Service,Filler
188,Mystery of the Targeted Merchants,Filler
189,A Limitless Supply of Ninja Tools,Filler
190,The Byakugan Sees the Blind Spot,Filler
191,Forecast: Death! Cloudy with Chance of Sun,Filler
192,Ino Screams! Chubby Paradise!,Filler
193,Viva Dojo Challenge! Youth Is All About Passion!,Filler
194,The Mysterious Curse of the Haunted Castle,Filler
195,The Third Super-Beast!,Filler
196,Hot-Blooded Confrontation: Student vs. Sensei,Filler
197,Crisis! The Hidden Leaf 11 Gather!,Filler
198,The ANBU Gives Up? Naruto's Recollection,Filler
199,The Missed Target,Filler
200,The Powerful Helper,Filler
201,Multiple Traps! Countdown to Destruction,Filler
202,The Top 5 Ninja Battles,Filler
203,"Kurenai's Decision, Squad 8 Left Behind",Filler
204,Yakumo's Sealed Ability,Filler
205,Kurenai's Top-Secret Mission: The Promise With the Third Hokage,Filler
206,Genjutsu or Reality?,Filler
207,The Supposed Sealed Ability,Filler
208,The Weight of the Prized Artifact!,Filler
209,The Enemy: Ninja Dropouts,Filler
210,The Bewildering Forest,Filler
211,Memory of Flames,Filler
212,To Each His Own Path,Filler
213,Vanished Memories,Filler
214,Bringing Back Reality,Filler
215,A Past to Be Erased,Filler
216,The Targeted Shukaku,Filler
217,Sand Alliance with the Leaf Shinobi,Filler
218,The Counterattack!,Filler
219,The Ultimate Weapon Reborn,Filler
220,Departure,238
