Episode,Title,Manga Chapter
30,Departure! Sea Chef and Luffy Travel Together!,67 | 68
31,"The Most Wicked Man of East Blue, Fishman Pirate Arlong",69 | 70 | 71
32,"The Witch of Cocoyashi Village, Arlong's Female Officer",70 | 71 | 72 | 73
33,Usopp's Death?! Luffy - Yet To Land?,73 | 74 | 75
34,Reunited! Usopp Tells Nami's True Story,75 | 76 | 77
35,The Hidden Past! Female Fighter Bellemere!,77 | 78
36,Survive! The Mother Bellemere and Nami's Family!,78 | 79 | 80
37,Luffy Stands Up! End of a Broken Promise!,80 | 81
38,Luffy in Trouble! Fishmen vs. Luffy Pirates!,82 | 83 | 84
39,Luffy Drowning! Zoro vs. Octopus Hatchan!,84 | 85 | 86
40,"Proud, Tall Warriors! Dramatic Battle of Sanji and Usopp!",86 | 87 | 88
41,Luffy's Best! Nami's Courage and the Straw Hat,88 | 89 | 90
42,"Bursting Out! Fishman Arlong, Fearsome Attack From The Sea!",90 | 91 | 92
43,The End of the Fishman Empire! Nami is my Friend!,92 | 93 | 94
44,"Setting off with a Smile! Farewell my Hometown, Cocoyashi Village!",95
45,Bounty! Straw Hat Luffy Becomes World Famous!,96
46,Following the Straw Hat! Little Buggy's Big Adventure,35 | 37 | 39 | 40 | 42 | 43 | 46 | 47 | 48 | 50 | 51 | 53 | 54
47,You've Been Waiting For It! The Return of Captain Buggy!,36 | 55 | 57 | 58 | 59 | 60 | 62 | 63 | 65 | 66 | 67 | 68 | 71 | 72 | 73 | 74 | 75
48,The Town of the Beginning and the End - Arrival at Loguetown,96 | 97 | 98
49,"Sandai Kitetsu and Yubashiri! Zoro's New Swords, and the Female Sergeant Major",97
50,Usopp vs. Daddy The Father! Showdown at High Noon!,Filler
51,A Burning Culinary Battle? Sanji vs. The Gorgeous Chef,Filler
52,Buggy's Revenge! The Man who Smiles at the Execution Platform!,98 | 99
53,The Legend Has Begun! Head to the Grand Line,100
54,"Foreboding of a New Adventure! The Puzzling Girl, Apis",101
55,The Holy Beast! Apis' Secret and the Legendary Island,101
56,Erik's Raid! Great Escape from Gunkan Island!,Filler
57,Lone Island in a Distant Sea! The Legendary Lost Island,Filler
58,Duel in the Ruins! Strained Zoro vs. Erik,Filler
59,"Luffy, Completely Surrounded! Admiral Nelson's Secret Plan",Filler
60,Those Who Soar in the Open Skies! Revival of the 1000 Year Legend,Filler
61,Angry Finale! Cross the Red Line!,101
62,The First Obstacle? Giant Whale Laboon Appears,102 | 103
63,"A Man's Promise, Luffy and the Whale Vow to Meet Again",103 | 104 | 105
64,A Pirate-Loving Town? Arrival at Whiskey Peak,106 | 107
65,Exploding Santōryū! Zoro vs. Baroque Works!,107 | 108 | 109 | 110
66,A Serious Fight! Luffy vs. Zoro: the Baffling Duel!,110 | 111 | 112
67,Deliver Princess Vivi! Luffy Pirates Depart,113 | 114
68,"Try Hard, Koby! Diary of Koby-Meppo's Marine Struggles",83 | 85 | 87 | 93 | 95 | 99 | 101 | 102 | 104 | 106 | 108 | 110 | 112 | 113
69,Koby-Meppo's Determination! Vice Admiral Garp's Fatherly Pride,114 | 116 | 118 | 119
70,Prehistoric Island! The Shadow Lurking in Little Garden!,115 | 116 | 117
71,Humongous Battle! The Giants Dorry and Brogy!,116 | 118
72,Luffy's Anger! A Dirty Trick in a Sacred Battle,117 | 118 | 119
73,Brogy Wails in Victory! Elbaf's Judgement,119 | 120
74,The Devil's Candle! Tears of Regret and Tears of Anger,121 | 122
75,Luffy Attacked by Magic! Colors Trap,123 | 124
76,Critical Counterattack! Usopp's Quick Wit and Kaenboshi!,124 | 125 | 126
77,Farewell to the Giants' Island! On to Alabasta,127 | 128 | 129
78,Nami is Sick? Beyond the Snow that Falls on the Ocean!,129 | 130 | 131
79,Ambush! The Bliking and Wapol the Blik,128 | 131 | 132
80,A Doctorless Island? Adventure in the Country Without a Name!,132 | 133 | 134
81,Ya Happy? The Doctor who is Called a Witch!,134 | 135 | 136
82,Dalton's Resolve! Wapol's Forces Land,136 | 137 | 138
83,Island that Lives in Snow! Ascend The Drum Rockies!,138 | 139
84,The Blue-Nosed Reindeer! Chopper's Secret,139 | 140
85,Dream of the Outcasts! The Quack Doctor Hiluluk,140 | 141 | 142 | 143
86,Hiluluk's Cherry Blossoms and Inherited Will,141 | 143 | 144 | 145
87,Against Wapol's Army Corps! The Abilities of the Baku Baku no Mi!,145 | 146 | 147 | 148
88,Zoan Type Devil's Fruit! Chopper's Seven-Level Transformation,147 | 148 | 149 | 150
89,When the Kingdom's Rule is Over! The Flag of Conviction Lasts Forever,150 | 151 | 152
90,Hiluluk's Cherry Blossoms! Miracle of the Drum Rockies,152 | 153
91,"Farewell, Drum Island! I'm Going Out to Sea!",142 | 154 | 155
92,The Hero of Alabasta and the Ballerina on Deck,155 | 156 | 157
93,Coming to the Desert Kingdom! The Rain-Calling Powder and the Rebel Army,158
94,Reunion of the Powerful! His Name is Fire Fist Ace,157 | 158
95,Ace and Luffy! Warm Memories and Brotherly Bonds,159
96,"The Green City, Erumalu and the Kung Fu Dugongs",159 | 160 | 161
97,Adventure in the Country of Sand! The Demons that Live in the Scorching Earth,162
98,Here Come the Desert Pirates! The Men who Live Free,162
99,"Spirit of the Fakes! Heart of the Rebel Army, Kamyu",Filler
100,Rebel Warrior Kohza! The Dream Sworn to Vivi!,163 | 164
101,Heat Haze Duel! Ace vs. Scorpion Man,159
102,"Ruins and Lost Ones! Vivi, Comrades, and the Shape of a Country",Filler
103,At Spiders Cafe - The Enemy Ringleaders Meet at 8 o'clock,160 | 161 | 162 | 163 | 164 | 165
104,Luffy vs. Vivi! A Tearful Vow for Comrades,165 | 166
105,"The Alabasta War Front! City of Dreams, Rainbase",167 | 168
106,Trap in a Desperate Situation! Breaking Into Rain Dinners,169 | 170
107,Operation Utopia Commences! The Wave of Rebellion Begins to Move,171 | 172
108,The Fearsome Bananawani and Mr. Prince,172 | 173 | 174
109,The Key to Turning the Tide and a Great Escape! Doru Doru Ball!,175 | 176
110,Merciless Fight to the Death! Luffy vs. Crocodile,176 | 177 | 178
111,The Miracle Sprint! Alabasta the Animal Land,179 | 180
112,Rebel Army vs. Royal Army! The Battle will be in Alubarna!,180 | 181 | 182 | 183
113,Alubarna is Crying! Fierce Fight of Captain Carue!,182 | 183 | 184
114,Swear on Your Crewmate's Dream! Battle at Molehill 4th Avenue,184 | 185 | 186
115,Today's Grand Performance! Mane Mane Montage!,186 | 187 | 188
116,Transforming Into Nami! Bon Kurei's Hard-Hitting Ballet Kenpo,188 | 189 | 190
117,Nami's Whirlwind Warning! Clima Tact Explosion,190 | 191 | 192
118,"Secret of the Royal Family! The Ancient Weapon, Pluton",192 | 193
119,Essence of a Mighty Sword! The Power to Cut Steel and the Breath of All Things,194 | 195
120,The Battle is Over! Kohza Flies the White Flag,196 | 197
121,Vivi's Voice Goes Unheard! A Hero Descends!,198 | 199
122,Sand Crocodile and Water Luffy! Death Match: Round 2,200 | 201
123,"Smells Like Croc! Run to the Tomb of the Royal Family, Luffy!",202 | 203
124,The Nightmare Draws Near! Secret Base of the Suna Suna Clan,204 | 205
125,"Magnificent Wings! My Name is Pell, Guardian Spirit of the Kingdom",206 | 207 | 208
126,I Will Surpass You! Rain Falls on Alabasta!,208 | 209 | 210
127,A Farewell to Arms! Pirates and a Little Justice,211 | 212
128,The Pirates' Banquet and Operation Escape Alabasta!,213 | 214
129,Everything Began that Day! Vivi Tells of her Adventures!,215 | 216
130,Beware her Scent! The Seventh One is Nico Robin!,217 | 218
131,The First Patient! Anecdote of the Rumble Ball,Filler
132,The Navigator's Mutiny! For an Unwavering Dream!,Filler
133,Inherited Recipe! Sanji the Curry Iron Chef,Filler
134,I'll Make it Bloom! Manly Usopp's Eight-Shaku Ball,Filler
135,"Infamous Pirate Hunter! The Wandering Swordsman, Zoro!",Filler
136,Zenny Lives on Goat Island and There's a Pirate Ship on his Mountain!,Filler
137,How's That for Profit? Money Lender Zenny's Ambition!,Filler
138,Where the Island's Treasure Lies! Zenny Pirates Full Charge!,Filler
139,Legend of the Rainbow Mist! Ruluka Island and the Old Man Henzo!,Filler
140,Inhabitants of Neverland! The Pumpkin Pirates!,Filler
141,A Longing for Home! The Inescapable Pirate Graveyard!,Filler
142,Frantic Struggle! Wetton's Plans and the Rainbow Tower!,Filler
143,And Then the Legend Begins! To the End of the Rainbow!,218
144,"The Log is Taken! Salvage King, Masira!",218 | 219 | 220
145,Monsters Appear! Don't Touch the Whitebeard Pirates,221
146,"Stop Dreaming! The City of Ridicule, Mock Town!",222 | 223 | 224
147,The Pirate's Summit! The Man who Talks of Dreams and the King of Underwater Exploration,225 | 226
148,The Legendary Family! 'Liar Noland',227 | 228
149,Hard Turn to the Clouds! Find the Southbird!,229 | 230
150,Dreams Don't Come True!? Bellamy vs. The Saruyama Alliance,231 | 232
151,The Hundred-Million Man! The World's Highest Authority and the Pirate Blackbeard,232 | 233 | 234
152,Sail into the Sky! Ride the Knock-Up Stream,235 | 236
153,This is the Sea of the Sky! The Knight of the Sky and Heaven's Gate,237 | 238
154,Godland Skypiea! The Angels Of the Cloud Beach,239 | 240
155,Sacred Ground! The Island Where God Resides and Heaven's Judgement!,241
156,Criminals Already!? Skypiea's Upholders of the Law,242
157,Can we Escape!? God's Ordeals are Set in Motion!,243
158,Trap on Lovely Street! Almighty God Enel,244
159,"Go Forth, Little Crow! To the Sacrificial Altar",245
160,Survival Rate: 10%! Priest Satori with the Power of Mantra!,246 | 247
161,Peril of the Ordeal of Balls! Fight to the Death in the Lost Forest,247
162,Chopper's in Danger! Former God vs. Priest Shura,248 | 249
163,Ever Mysterious! Ordeal of String and Ordeal of Love!?,249 | 250
164,Light the Fire of Shandia! Wiper the Warrior,251
165,"Floating Land of Gold, Jaya! To God's Shrine!",252
166,Eve of Gold Festival! Feelings Toward 'Vearth'!,253
167,God Enel Appears!! Aubade to the Survivors,254
168,The Python Strikes! The Survival Game Begins,255 | 256
169,The Life-Threatening Reject! War Demon Wiper's Resolve,256 | 257 | 258
170,Fierce Sky Battle! Pirate Zoro vs. Fighter Braham,258 | 259
171,Howling Burn Bazooka!! Luffy vs. War Demon Wiper,260 | 261
172,Ordeal of Swamp! Chopper vs. Priest Gedatsu!!,261 | 262 | 263
173,The Invincible Ability! Enel's True Nature Revealed,263 | 264
174,The Vanished City! The Magnificent Ruins of Shandora!!,263 | 264 | 265 | 266 | 268 | 272
175,Chance of Survival: 0%!! Chopper vs. Priest Ohm,266 | 267
176,Climb Giant Jack!! Showdown in the Upper Ruins,268 | 15 | 269
177,Ultimate Test of the Ordeal of Iron! The White-Barbed Death Match!!,270 | 271
178,Gushing Blade Attack! Zoro vs. Priest Ohm!!,271 | 272
179,The Upper Ruins Crumble! The Quintet Finale!!,272 | 273
180,Battle in the Ancient Ruins! God Enel's Desire!!,274 | 275
181,"Ambitions of Fairy Vearth - The Ark, Maxim!!",275 | 276 | 277
182,Finally Clashing! Pirate Luffy vs. God Enel!!,276 | 277 | 278 | 279
183,Maxim Rises! The Start of Deathpiea!!,280 | 281
184,Luffy's Fall! God's Judgement and Nami's Desire!!,282 | 283
185,Two People Awaken! A Rescue in Front of Burning Love!!,283 | 284
186,Capriccio to Destruction! The Impending Doom of Sky Island!!,284 | 285 | 286
187,Guidance from the Sound of a Bell! The Great Warrior and Tales of an Explorer,286 | 287 | 288
188,Released from Disgrace! The Tears of the Great Warrior!!,289 | 290 | 291
189,Eternal Friendship! The Bell of Oath Echoes Throughout the Giant Ocean!!,291 | 292 | 293
190,The Destruction of Angel Island! Terror of The Descending Raigou!!,294 | 295
191,Chop Down Giant Jack! The Last Hope of Escaping,295 | 296 | 297
192,The Miracle in God's Country! A Love Song Heard by Angels,297 | 298
193,"The War Draws to a Close! Ringing Far and Wide, the Proud Fantasia",299 | 300
194,I Have Come Here! The Weaving of the Poneglyphs,301
195,Now Heading Towards the Blue Sea!! Memories of an Interwoven Finale,302 | 303
196,Emergency Official Announcement! Notorious Pirate Ship Infiltration!,Filler
197,Sanji the Cook! Showing His Real Worth at the Marine Dining-room!,Filler
198,Zoro's imprisonment and Chopper's Emergency Operation!,Filler
199,The Search of the Approaching Marines! The Second Person Who Was Captured!,Filler
200,Luffy and Sanji's Desperate Decision! Large Rescue Maneuvers!,Filler
201,Hot Blood Special Unit Participation! Bridge Offensive and Defensive Battle!,Filler
202,Smash the Barricade! The Going Merry is Recovered!,Filler
203,The Missing pirate Ship! 2nd Round Assault on the Fortress,303
204,The Gold Recovery Plan and the Waver Recovery Plan!,Filler
205,Catch Them All in One Net! Johnathan's Secret Scheme!,Filler
206,"So Long, Marine Base! The Final Battle for Freedom",Filler
207,Big Adventure in Long Ring Long Land,303 | 304 | 305
208,The Foxy Pirate Crew and the Davy Back!,305 | 306
209,Round 1! One Lap of the Donut Race,306 | 307
210,Foxy the Silver Fox! A Violent Interference,308 | 309
211,Round 2! Shoot into the Groggy Ring!,310 | 311
212,Rapid-Fire Red Cards! Groggy Ring,312 | 313
213,Round 3! Round and Round Roller Race!,Filler
214,Burning Roller Race! Dash into the Final Round!,313
215,The Screaming Speed Serve! Pirate Dodgeball!,Filler
216,Final Match on the Edge! Dharma has Fallen!,313
217,Captain Confrontation! The Last Fight: Combat!,313 | 314
218,Full Power Noro Noro Beam vs. The Invulnerable Luffy,315 | 316
219,Heroic Fierce Combat! The Fateful Last Battle,317 | 318
220,You Lost Your Memory? It Was Taken? Who Are You?,Filler
221,The Mysterious Boy With the Whistle and Robin's Guess!,Filler
222,Get Back Your Memories! Landing on the Island!,Filler
223,Zoro Sharpens His Fangs! A Fight With a Wild Beast!,Filler
224,The Memory Thief's Final Counterattack Shows His True Nature!,Filler
225,The Man of Pride! Foxy the Silver Fox,303
226,The Nigh Invincible Man? And a Very Dangerous Man!,318
227,Marine High Admiral Aokiji! The Threat of the Greatest Power,319 | 320
228,Rubber and Ice One-On-One Fight! Luffy vs. Aokiji!,320 | 321 | 322
229,"Running Sea Train! The City of Water, Water 7",322 | 323 | 324
230,The Adventure in the City of Water! Aim for the Giant Shipyard,323 | 324 | 325
231,The Franky Family and Iceburg!,325 | 326
232,Galley-La Company! The Magnificent Dock #1,326 | 327
233,The Pirate Kidnapping Incident and the Pirate Ship Waits for Death!,328 | 329
234,Rescuing a Crewmate! The Raid on the Franky House,329 | 330 | 331
235,Quarrel in the Moonlight! The Pirate Ship Trembles in Sadness,331 | 332
236,Luffy vs. Usopp! The Spirit of the Clashing Men,332 | 333
237,The City of Water is Shaking! Iceburg was Targeted!,334 | 335
238,Rubberman vs. Fire-Breathing Cyborg,335 | 336 | 337
239,The Criminals are the Straw Hat Pirates? The Bodyguards of Water 7,337 | 338 | 339
240,"An Eternal Farewell? Nico Robin, The Woman Who Bears Darkness",339 | 340
241,Catch Robin! The Determination of the Straw Hat Pirates,340 | 341 | 342
242,The Signal is the Explosion! CP9 Starts to Move,340 | 341 | 342
243,CP9 Unmasked! Their Shocking True Faces,343 | 344 | 345
244,The Secret Bond! Franky and Iceburg,346
245,"Come Back, Robin! The Confrontation with CP9",347 | 348
246,Destruction of the Straw Hat Pirates? The Terror of the Model Leopard!,349 | 350
247,The Man who is Loved by his Ship! Usopp's Tears!,350 | 351 | 352
248,Franky's Past! The Day the Sea Train Ran,352 | 353 | 354
249,Spandam's Conspiracy! The Day the Sea Train Shook,353 | 355 | 356
250,The End of the Legendary Man! The Day the Sea Train Cried,356 | 357 | 358
251,The Truth Behind the Betrayal! Robin's Sorrowful Decision!,358 | 359
252,The Steam Whistle Separates the Crew! The Sea Train Begins to Run,360 | 361
253,Sanji Breaks In! The Sea Train Battle in the Storm!,361 | 362
254,The Shout of Nami's Soul! The Return of the Straw Hat!,363 | 364 | 365
255,Another Sea Train! Rocket Man Sortie,364 | 365
256,Rescue our Friends! The Oath that Links the Enemies,358 | 366
257,"Smash the Wave! Luffy and Zoro, The Strongest Combo!",366 | 367
258,A Man of Mystery Appears!? His Name is Sogeking!,368 | 369
259,Cook Confrontation! Sanji vs. Ramen Kenpo,369 | 370
260,Duel on the Roof! Franky vs. Nero!,370 | 371 | 372
261,Crash! Demon-Cutting Zoro vs. Ship-Cutting T-Bone!,371 | 372 | 373
262,Robin Struggles! Sogeking's Clever Scheme!!,373 | 374
263,The Judiciary Island! The Full Picture of Enies Lobby!,374 | 375
264,Operation Disembarkation Commences! The Straw Hat Crew Rushes In!,375 | 376
265,Luffy Charges In! Great Decisive Battle on the Judiciary Island!!,376 | 377 | 388
266,Battle with the Giants! Open the Second Door!,378 | 379
267,"The Means of Escaping is Opened! Fly through the Sky, Rocketman!",379 | 380
268,Catch Up with Luffy! The Straw Hat Pirates' All-Out War,381 | 382
269,Robin was Betrayed! The Expectations of the World Government!,382 | 383
270,Give Robin Back! Luffy vs. Blueno!,383 | 384
271,Don't Stop! Raise the Signal Fire of a Counterattack!,384 | 385
272,Luffy is in Sight! Gather at the Courthouse Plaza,385 | 386 | 387
273,All for the Sake of Protecting My Friends! Gear Second in Motion,387 | 388
274,"Answer Us, Robin! The Outcries of the Straw Hat Crew!!",389 | 390
275,Robin's Past! The Girl who was Called a Demon!,391 | 392
276,The Fated Parent and Child! The Mother's Name is Olvia!,393 | 394 | 395
277,Tragedy of Ohara! Fear of Buster Call!,395 | 396 | 397
278,Say You Want to Live! We are Friends!!,397 | 398
279,Jump Into the Falls! Luffy's Feelings!!,Filler
280,"A Man's Way of Life! Zoro's Techniques, Usopp's Dream",Filler
281,Tears Which Weaved the Bond of Friendship! Nami's World Map,Filler
282,Separation Refines a Man! Sanji and Chopper,Filler
283,All for my Friends' Sake! The Darkness Within Robin!,Filler
284,The Blueprints Aren't Passed! Franky's Decision,399 | 400
285,Retrieve the 5 Keys! The Straw Hat Crew vs. CP9,400
286,Power of the Devil Fruit! Kaku and Jabra Transform,401 | 402
287,"Even if I Die, I Won't Kick you! Sanji's Manly Chivalry",402 | 403
288,The Silent Owl's Miscalculation! My Cola is the Water of Life,403 | 404
289,Zoro's New Technique Explodes! The Katana's Name is Sogeking?,405 | 406
290,Uncontrollable! Chopper's Forbidden Rumble,406 | 407
291,Boss Luffy Returns! A Dream or Reality Lottery Trouble,Filler
292,The Great Mochimaki Race to the Castle! Conspiracy of the Red Nose,Filler
293,Bubble User Kalifa! Nami Draws Near to the Soap's Trap,407 | 408
294,The Resounding Bad News! The Buster Call is Invoked,409
295,5 Namis? Counterattack with the Mirage!,410 | 411
296,Nami's Determination! Shoot the Rampaging Chopper!,411 | 412
297,Hunter Sanji Appears? Elegy to the Lying Wolf,413 | 414
298,The Scorching Kick! Full Course of Sanji's Footwork,414 | 415 | 416
299,The Drawn Sword's Fierce Attack! Zoro vs. Kaku Powerful Slash Showdown,416 | 417
300,Zoro the Fierce God! The Incarnation of Asura Revealed by His Soul,417 | 418
301,Spandam's Shock! A Hero Stands on the Tower of Justice,419 | 420
302,Robin's Liberation! Luffy vs. Lucci: Peak of the Decisive Battle,420
303,The Criminal is Boss Luffy? Chase the Vanished Great Sakura Tree,Filler
304,"If I Can't Win, I Can't Protect Anyone! Gear Third Activates",421
305,The Terrifying Past! Dark Justice and Rob Lucci,422
306,A Phantom Mermaid is Here? Within Fading Consciousness,423 | 424
307,The Island Sinking in Gunfire! Franky's Outcry of Regret,424 | 425
308,Wait for Luffy! Fight to the Death on the Bridge of Hesitation!,425 | 426
309,Feelings Put Into Fists! Luffy's Full-Power Gatling,426 | 427
310,A Friend Approaches from the Sea! The Straw Hat Crew's Strongest Bonds,428
311,Everyone Escapes! The Path to Victory is for the Pirates,429
312,Thank You Merry! The Sea of Separation in the Snow,430
313,The Disturbance of Peace! The Vice-Admiral with the Fist of Love,431
314,The Strongest Family Lineage? Luffy's Father Revealed!,432
315,Its Name is The New World! The Whereabouts of the Great Grand Line!,433
316,Shanks Moves! Ceremony to the Rampaging Age,433 | 434 | 435
317,The Girl Searching for the Yagara! Great Investigation in the Water Metropolis!,Filler
318,The Mother is Strong! Zoro's Slapstick Housework Help,Filler
319,Sanji Crashes! The Mysterious Old Man and Intense Cooking,435
320,Everyone's Finally Wanted! The Crew of Over Six Hundred Million!,358 | 435
321,The King of Beasts that will Cross the Ocean! The Dream Ship's Magnificent Completion!,436
322,Goodbye my Lovable Followers! Franky Departs,437
323,"Departure from the Water City! The Distinction of a Man, Usopp's Duel",438
324,Circling Bounties! The Hometowns Dance as the Ship Advances!,439 | 440
325,The Most Evil Ability! Blackbeard's Darkness Attacks Ace,434 | 440 | 441
326,Mysterious Party of Pirates! The Sunny and a Dangerous Trap,442
327,"Sunny in a Pinch! Roar, Secret Superspeed Mecha",Filler
328,"The Dream Sinking in the New World! The Pirate of Despair, Puzzle",Filler
329,The Assassins Attack! The Great Battle Above the Ice Begins,Filler
330,The Hard Fights of the Straw Hat Crew! The Pirate Soul Banking it All on the Flag!,Filler
331,Hot Full Throttle! The Twins' Magnetic Power Draws Near,Filler
332,The Great Chaos Mansion! The Angry Don and the Imprisoned Crew,Filler
333,The Phoenix Returns! The Dream of the Pirate Flag Sworn to a Friend,Filler
334,The Super Final Atsu Atsu Battle! Luffy vs. the Scortching Don,Filler
335,Waiting in the New World! Farewell to the Courageous Pirates,Filler
336,Chopper Man Departs! Protect the TV Station by the Shore,Filler
337,Venture Into the Devil's Sea! The Mysterious Skeleton Floating Through the Fog,442
338,The Delight of Having Met People! The Gentleman Skeleton's True Colors,443
339,One Phenomenon After Another! Disembarking at Thriller Bark,443 | 444
340,The Man Called a Genius! Hogback Appears!,445 | 446
341,Nami in Big Trouble! The Zombie Mansion and the Invisible Man,446 | 447
342,Mystery of the Zombies! Hogback's Nightmarish Research Laboratory,447 | 448 | 449
343,His Name is Moriah! Trap of the Great Shadow-Stealing Pirate,448 | 449
344,Feast of the Zombie Song! The Bell of the Night Raid is a Sound of Darkness,449 | 450
345,Filled with Animals!? Perona's Wonder Garden,451
346,Disappearing Straw Hat Crew! The Mysterious Swordsman Appears!,452
347,Leftover Chivalry! The Traitorous Zombie who Protects Nami,453
348,"Coming from the Sky! That Man is the ""Humming"" Swordsman!",454
349,Luffy in an Emergency! The Living Place of the Strongest Shadow!,455
350,The Warrior Called a Demon!! The Time of Oars' Resurrection,456
351,Awakening After 500 Years!! Oars Revives!!,457
352,Conviction Strong Enough to Beg for One's Life!! Brook Protects his Afro,458
353,A Man's Oath Never Dies!! To the Friend who Waits Under a Far-Away Sky,458 | 459
354,We will Definitely Meet Again!! Brook and the Cape of the Promise,459
355,"Food, Nami and Shadows!! Luffy's Angry Counterattack",460
356,Usopp the Strongest? Leave the Negatives to Me,461
357,Sudden Death of the General Zombies!! Oars in an Adventurous Mood!!,462
358,"Sanji, the Knight of Flames!! Kick Down the False Ceremony",463 | 464
359,Perverted Connection? Sanji's Stolen Dream,463 | 464
360,Saving Hero! The Enemy is the Invincible Princess,465
361,Perona's Terror!! The U in Uso is the U in Usopp,466
362,Slashes Dancing on the Roof! Finale - Zoro vs. Ryuma,466 | 467
363,Chopper's Rage!! Hogback's Demonic Medical Practice,468
364,Oars Roars!! Come Out Straw Hat Crew,469
365,The Enemy is Luffy!! The Strongest Zombie vs. the Straw Hat Crew,470
366,Defeat Absalom!! Nami's Lightning Attack of Friendship!!,471
367,One Down!! Sure Kill Straw Hat Docking?,472
368,Soundless Invasion!! The Mysterious Visitor: Kuma the Tyrant,473
369,Oars Plus Moriah - The Greatest Combination of Brains and Brawn,474
370,A Secret Strategy to Turn the Tables - Nightmare Luffy Appears,475 | 476
371,The Straw Hat Crew Annihilated - Full-Throttle Kage Kage Abilities,476 | 477
372,The Battle for Superiority Starts! - Luffy vs. Luffy,478 | 479
373,The Conclusion Arrives! - Deliver the Finishing Blow,480 | 481
374,The Bodies Vanish! - The Morning Sun Pierces Through the Nightmare Island!,481 | 482
375,The Endless Crisis! Orders to Obliterate the Straw Hat Crew,483
376,Kuma's Nikyu Nikyu Power That Deflect Everything,484
377,"My Crewmate's Pain is My Pain, Zoro Fights Prepared to Die",485
378,Promise on a Day Long Ago - The Pirate's Song and a Tiny Whale,486
379,Brook's Past - Sad Farewell to the Cheerful Friend,487
380,Bink's Sake - The Song that Connects the Past and Present,487 | 488
381,"A New Crewmate! - The Musician ""Humming Brook""",489 | 490
382,Noro Noro Menace - Return of Foxy the Silver Fox,Filler
383,The Great Treasure Contest! Collapse! Spa Island,Filler
384,Brook's Hard Struggle - The Difficult Path to Becoming a True Crewmate?,Filler
385,Arriving at Halfway Through the Grand Line! The Red Line,490
386,Hatred of the Straw Hat Crew - Enter Iron Mask Duval,490 | 491
387,The Fated Reunion! Save the Imprisoned Fishman,492 | 493
388,Tragedy! The Truth of the Unmasked Duval,493 | 494
389,Explosion! The Sunny's Super Secret Weapon: Gaon Cannon,494 | 495
390,Landing to Get to Fishman Island - The Sabaody Archipelago,496
391,"Tyranny! The Rulers of Sabaody, the Celestial Dragons",497
392,New Rivals Gather! The 11 Supernovas,498
393,The Target is Keimi!! The Kidnappers' Evil Draws Near,499
394,Rescue Keimi - The Dark History of the Archipelago,500
395,Time Limit - The Human Auction Begins,501
396,The Exploding Fist! Destroy the Auction,502
397,Huge Panic! Struggle in the Auction Hall,503
398,Admiral Kizaru Moves! The Sabaody Archipelago in Chaos,504
399,Break Through the Encirclement! Marines vs. Three Captains,505 | 506
400,Roger and Rayleigh - The Pirate King and His Right Hand,506 | 507
401,Impossible to Avoid!? Admiral Kizaru's Speed of Light Kick!!,507 | 508
402,Overwhelming! The Marine Combat Weapon Pacifista,509 | 510
